`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`
`All I've Got to Do`,`1963`,`With the Beatles`,`Lennon`,`Lennon`,``,``,`0.5782149516`,`118.901`,`0.0361136071`,`c#`,`122.57669`,`0.066290135`,`minor`,`4`,`-10.801`,`0.4916330383`,`14.94`,`18.83`,`1.95`,`0`,`3.25`,`3.25`,`5.84`
`Her Majesty`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`0.1956731618`,`100.665`,`0.0602707215`,`g`,`23.98476`,`0.119950174`,`major`,`3`,`-23.461`,`0.7229051408`,`10.29`,`20.59`,`5.88`,`0`,`10.29`,`8.82`,`11.76`
`You Never Give Me Your Money`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`0.1933204167`,`88.324`,`0.0391208388`,`c`,`235.59791`,`0.114942307`,`major`,`7`,`-21.228`,`0.3187392371`,`5.48`,`9.59`,`5.48`,`0.68`,`2.74`,`4.79`,`10.27`
`Not a Second Time`,`1963`,`With the Beatles`,`Lennon`,`Lennon`,``,``,`0.8436143023`,`124.895`,`0.0370436991`,`e`,`126.84916`,`0.4542346263`,`minor`,`4`,`-10.524`,`0.4690642899`,`15.25`,`15.25`,`1.69`,`6.78`,`11.86`,`3.39`,`6.78`
`From Me To You`,`1963`,`Past Masters Volume 1`,`Lennon and McCartney`,`Lennon and McCartney`,`1`,`41`,`0.619881214`,`136.299`,`0.0315818313`,`a`,`114.72934`,`0.3259109783`,`minor`,`4`,`-12.397`,`0.5800560299`,`13.76`,`14.29`,`5.82`,`0`,`6.35`,`0.53`,`7.94`
`I'm So Tired`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`0.4699278275`,`71.509`,`0.2115119508`,`a`,`123.50549`,`0.4986109863`,`major`,`4`,`-10.084`,`0.4382320193`,`19.55`,`12.03`,`0.75`,`1.5`,`13.53`,`3.76`,`6.02`
`You're Going to Lose That Girl`,`1965`,`Help!`,`Lennon`,`Lennon`,``,``,`0.4562712003`,`123.45`,`0.030394837`,`e`,`146.16925`,`0.2680363088`,`minor`,`4`,`-10.985`,`0.6645202835`,`3.83`,`28.75`,`1.28`,`8.63`,`4.47`,`1.92`,`1.28`
`What Goes On`,`1965`,`Rubber Soul`,`Lennon, with McCartney and Starkey`,`Starkey`,``,`81`,`0.9020936474`,`97.015`,`0.1161643179`,`g#`,`168.57542`,`0.0661180433`,`minor`,`4`,`-10.561`,`0.6933715274`,`9.68`,`15.67`,`0.92`,`2.3`,`14.75`,`4.15`,`3.23`
`Ticket To Ride`,`1965`,`Help!`,`Lennon, with McCartney`,`Lennon, with McCartney`,`1`,`1`,`0.7126859157`,`124.504`,`0.0385148667`,`a`,`204.78803`,`0.098094913`,`major`,`4`,`-9.808`,`0.6868393222`,`8.82`,`16.91`,`4.41`,`1.47`,`9.56`,`5.15`,`2.21`
`There's a Place`,`1963`,`Please Please Me`,`Lennon and McCartney`,`Lennon and McCartney`,``,``,`0.6358528346`,`137.805`,`0.0607102942`,`d#`,`109.16`,`0.5321315228`,`major`,`4`,`-7.283`,`0.4817257856`,`13.46`,`6.73`,`0.96`,`5.77`,`5.77`,`4.81`,`6.73`
`Savoy Truffle`,`1968`,`The Beatles`,`Harrison`,`Harrison`,``,``,`0.5446384276`,`120.77`,`0.0506694099`,`c`,`174.47329`,`0.1232279705`,`major`,`4`,`-11.773`,`0.6222026202`,`2.33`,`11.63`,`2.33`,`0.58`,`8.72`,`7.56`,`8.72`
`Can't Buy Me Love`,`1964`,`A Hard Day's Night`,`McCartney`,`McCartney`,`1`,`1`,`0.6784181743`,`86`,`0.0471993381`,`c`,`131.88789`,`0.3068068985`,`major`,`4`,`-6.76`,`0.5631523425`,`15.97`,`14.58`,`9.03`,`0`,`6.25`,`2.08`,`4.86`
`Run for Your Life`,`1965`,`Rubber Soul`,`Lennon`,`Lennon`,``,``,`0.7202872006`,`88.361`,`0.0604145117`,`b`,`139.08608`,`0.0741495354`,`minor`,`4`,`-9.623`,`0.6615903046`,`6.44`,`23.18`,`3`,`0.86`,`5.58`,`5.15`,`3.86`
`Good Morning Good Morning`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon`,`Lennon`,``,``,`0.3554120788`,`122.977`,`0.0571315173`,`d`,`153.39057`,`0.6876738385`,`major`,`4`,`-17.006`,`0.5588935624`,`1.98`,`16.34`,`6.44`,`0.99`,`7.43`,`5.45`,`14.85`
`Wild Honey Pie`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`0.7899918973`,`89.877`,`0.0498236217`,`f`,`52.98649`,`0.7533636465`,`major`,`4`,`-11.473`,`0.7940951769`,`11.11`,`44.44`,`11.11`,`0`,`0`,`0`,`0`
`Eleanor Rigby`,`1966`,`Revolver`,`McCartney, with Lennon`,`McCartney`,`1`,`11`,`0.2848909623`,`138.067`,`0.0358368176`,`e`,`126.5473`,`0.3002958916`,`minor`,`4`,`-9.738`,`0.575991187`,`0`,`14.12`,`0.56`,`5.08`,`1.13`,`12.43`,`5.65`
