`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`
`What You're Doing`,`1964`,`Beatles for Sale`,`McCartney`,`McCartney`,``,``,`0.4126052395`,`129.412`,`0.0387997278`,`g`,`151.48363`,`0.1070576448`,`major`,`4`,`-16.145`,`0.6504090185`,`9.38`,`18.75`,`3.12`,`2.08`,`16.67`,`1.04`,`5.21`
`Long, Long, Long`,`1968`,`The Beatles`,`Harrison`,`Harrison`,``,``,`0.1250049565`,`105.634`,`0.0295764319`,`f`,`186.31546`,`0.1501997577`,`major`,`4`,`-16.48`,`0.3933941934`,`16.05`,`14.81`,`6.17`,`3.7`,`12.35`,`2.47`,`3.7`
`Day Tripper`,`1965`,`Past Masters Volume 2`,`Lennon, with McCartney`,`Lennon and McCartney`,`1`,`5`,`0.7057826116`,`137.65`,`0.0339016099`,`f#`,`169.92317`,`0.2368259935`,`minor`,`4`,`-12.204`,`0.6315379624`,`5.26`,`10.53`,`5.26`,`1.75`,`7.02`,`10.53`,`4.39`
`For No One`,`1966`,`Revolver`,`McCartney`,`McCartney`,``,``,`0.3768916595`,`81.209`,`0.0285775066`,`b`,`119.81351`,`0.1198066784`,`major`,`4`,`-11.205`,`0.4806986975`,`0`,`24.34`,`4.23`,`4.23`,`10.05`,`4.23`,`4.23`
`The Long and Winding Road`,`1969`,`Let It Be`,`McCartney`,`McCartney`,``,`1`,`0.2075207218`,`67.953`,`0.0303696573`,`d#`,`219.35669`,`0.0756593411`,`major`,`4`,`-12.806`,`0.4336867099`,`10.26`,`5.13`,`0`,`3.42`,`5.13`,`8.55`,`5.98`
`Here, There and Everywhere`,`1966`,`Revolver`,`McCartney`,`McCartney`,``,``,`0.238422344`,`83.182`,`0.0296475992`,`g`,`144.89107`,`0.0912586865`,`major`,`4`,`-13.031`,`0.5124356884`,`9.2`,`11.66`,`9.2`,`0`,`14.72`,`1.84`,`13.5`
`Everybody's Got Something to Hide Except Me and My Monkey`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`0.7341009046`,`117.1`,`0.0560679999`,`a`,`144.77497`,`0.0729263962`,`major`,`4`,`-9.198`,`0.5207244628`,`3.55`,`6.51`,`10.65`,`0`,`0`,`5.92`,`4.73`
`Dear Prudence`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`0.4947581032`,`75.677`,`0.0408238805`,`g`,`235.77397`,`0.0365595099`,`major`,`4`,`-10.996`,`0.3538719608`,`2.59`,`11.21`,`13.79`,`0.86`,`3.45`,`7.76`,`9.48`
`Julia`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`0.0812338629`,`89.81`,`0.0310580093`,`d`,`174.68227`,`0.1098421567`,`major`,`5`,`-16.54`,`0.3568390654`,`13.91`,`6.96`,`5.22`,`0`,`2.61`,`5.22`,`6.96`
`It's Only Love`,`1965`,`Help!`,`Lennon`,`Lennon`,``,``,`0.582333351`,`113.214`,`0.0264435693`,`c`,`116.49306`,`0.044471407`,`major`,`3`,`-8.906`,`0.6262601073`,`11.02`,`8.66`,`8.66`,`1.57`,`7.09`,`3.15`,`2.36`
`Why Don't We Do It in the Road`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`0.5994943749`,`94.172`,`0.0599541638`,`d`,`101.16789`,`0.0769555878`,`major`,`4`,`-9.086`,`0.8012843968`,`13.64`,`13.64`,`0`,`0`,`9.09`,`9.09`,`4.55`
`Octopus's Garden`,`1969`,`Abbey Road`,`Starkey`,`Starkey`,``,``,`0.5238795173`,`92.324`,`0.0258245387`,`c#`,`170.73488`,`0.2165099064`,`minor`,`4`,`-9.659`,`0.6230237502`,`10.61`,`12.85`,`5.03`,`1.12`,`6.7`,`11.73`,`10.61`
`All Together Now`,`1967`,`Yellow Submarine`,`McCartney, with Lennon`,`McCartney, with Lennon`,``,``,`0.448369122`,`95.984`,`0.0764186994`,`a`,`130.91265`,`0.5670662918`,`minor`,`4`,`-10.094`,`0.5848808983`,`12.09`,`5.49`,`3.3`,`0`,`0`,`8.79`,`3.3`
`Girl`,`1965`,`Rubber Soul`,`Lennon,`,`Lennon`,``,``,`0.2977191125`,`96.515`,`0.0288426555`,`f`,`151.74095`,`0.1408881335`,`minor`,`4`,`-13.681`,`0.7051262555`,`3.45`,`28.08`,`1.48`,`1.97`,`8.37`,`5.42`,`6.9`
